owner_id,pin,year,raw_address,house,direction,street_name,street_type,address_key
161350200400002021,16135020040000,2021,N FRANCISCO AVE,,,,,
161350200400002022,16135020040000,2022,N FRANCISCO AVE,,,,,
161350200400002023,16135020040000,2023,N FRANCISCO AVE,,,,,
022330203500002012,02233020350000,2012,312 S OAK ST,312,S,OAK,ST,312 S OAK ST
010110001200002021,01011000120000,2021,123 W MAIN ST,123,W,MAIN,ST,123 W MAIN ST
161350200400002024,16135020040000,2024,N FRANCISCO AVE,,,,,
022330203500002013,02233020350000,2013,312 S OAK ST,312,S,OAK,ST,312 S OAK ST
010110001200002022,01011000120000,2022,123 W MAIN ST,123,W,MAIN,ST,123 W MAIN ST
161350300100001999,16135030010000,1999,1011 S WASHTENAW AVE,1011,S,WASHTENAW,AVE,1011 S WASHTENAW AVE
031820001310152024,03182000131015,2024,949 ESSEX PL,949,,ESSEX,PL,949 ESSEX PL
022330203500002014,02233020350000,2014,312 S OAK ST,312,S,OAK,ST,312 S OAK ST
161350300100002000,16135030010000,2000,1011 S WASHTENAW AVE,1011,S,WASHTENAW,AVE,1011 S WASHTENAW AVE
022330203500002015,02233020350000,2015,312 S OAK ST,312,S,OAK,ST,312 S OAK ST
010110001200002023,01011000120000,2023,123 W MAIN ST,123,W,MAIN,ST,123 W MAIN ST
161350300100002001,16135030010000,2001,1011 S WASHTENAW AVE,1011,S,WASHTENAW,AVE,1011 S WASHTENAW AVE
161350300100002002,16135030010000,2002,1011 S WASHTENAW AVE,1011,S,WASHTENAW,AVE,1011 S WASHTENAW AVE
022330203500002016,02233020350000,2016,312 S OAK ST,312,S,OAK,ST,312 S OAK ST
031840116300002024,03184011630000,2024,1910 HIGHLAND AVE,1910,,HIGHLAND,AVE,1910 HIGHLAND AVE
161350300100002003,16135030010000,2003,1011 S WASHTENAW AVE,1011,S,WASHTENAW,AVE,1011 S WASHTENAW AVE
010110001200002024,01011000120000,2024,123 W MAIN ST,123,W,MAIN,ST,123 W MAIN ST
161350300100002004,16135030010000,2004,1011 S WASHTENAW AVE,1011,S,WASHTENAW,AVE,1011 S WASHTENAW AVE
022330203500002017,02233020350000,2017,312 S OAK ST,312,S,OAK,ST,312 S OAK ST
161350300100002005,16135030010000,2005,1011 S WASHTENAW AVE,1011,S,WASHTENAW,AVE,1011 S WASHTENAW AVE
161350300100002006,16135030010000,2006,1011 S WASHTENAW AVE,1011,S,WASHTENAW,AVE,1011 S WASHTENAW AVE
022330203500002018,02233020350000,2018,312 S OAK ST,312,S,OAK,ST,312 S OAK ST
161350300100002007,16135030010000,2007,1011 S WASHTENAW AVE,1011,S,WASHTENAW,AVE,1011 S WASHTENAW AVE
161350300100002008,16135030010000,2008,1011 S WASHTENAW AVE,1011,S,WASHTENAW,AVE,1011 S WASHTENAW AVE
161350300100002009,16135030010000,2009,1011 S WASHTENAW AVE,1011,S,WASHTENAW,AVE,1011 S WASHTENAW AVE
161350300100002010,16135030010000,2010,1011 S WASHTENAW AVE,1011,S,WASHTENAW,AVE,1011 S WASHTENAW AVE
170912704311612024,17091270431161,2024,645 N KINGSBURY ST 2509,645,N,KINGSBURY ST 2509,,645 N KINGSBURY ST 2509
022330203500002019,02233020350000,2019,312 S OAK ST,312,S,OAK,ST,312 S OAK ST
161350300100002011,16135030010000,2011,1011 S WASHTENAW AVE,1011,S,WASHTENAW,AVE,1011 S WASHTENAW AVE
161350300100002012,16135030010000,2012,1011 S WASHTENAW AVE,1011,S,WASHTENAW,AVE,1011 S WASHTENAW AVE
161350300100002013,16135030010000,2013,1011 S WASHTENAW AVE,1011,S,WASHTENAW,AVE,1011 S WASHTENAW AVE
161350300100002014,16135030010000,2014,1011 S WASHTENAW AVE,1011,S,WASHTENAW,AVE,1011 S WASHTENAW AVE
161350300100002015,16135030010000,2015,1011 S WASHTENAW AVE,1011,S,WASHTENAW,AVE,1011 S WASHTENAW AVE
010110001700001999,01011000170000,1999,115 DUNDEE AVE,115,,DUNDEE,AVE,115 DUNDEE AVE
010110001700002000,01011000170000,2000,115 DUNDEE AVE,115,,DUNDEE,AVE,115 DUNDEE AVE
161350300100002016,16135030010000,2016,1011 S WASHTENAW AVE,1011,S,WASHTENAW,AVE,1011 S WASHTENAW AVE
010110001700002001,01011000170000,2001,115 DUNDEE AVE,115,,DUNDEE,AVE,115 DUNDEE AVE
022330203500002020,02233020350000,2020,312 S OAK ST,312,S,OAK,ST,312 S OAK ST
161350300100002017,16135030010000,2017,1011 S WASHTENAW AVE,1011,S,WASHTENAW,AVE,1011 S WASHTENAW AVE
022330203500002021,02233020350000,2021,312 S OAK ST,312,S,OAK,ST,312 S OAK ST
161350300100002018,16135030010000,2018,1011 S WASHTENAW AVE,1011,S,WASHTENAW,AVE,1011 S WASHTENAW AVE
010110001700002002,01011000170000,2002,115 DUNDEE AVE,115,,DUNDEE,AVE,115 DUNDEE AVE
161350300100002019,16135030010000,2019,1011 S WASHTENAW AVE,1011,S,WASHTENAW,AVE,1011 S WASHTENAW AVE
161350300100002020,16135030010000,2020,1011 S WASHTENAW AVE,1011,S,WASHTENAW,AVE,1011 S WASHTENAW AVE
161350300100002021,16135030010000,2021,1011 S WASHTENAW AVE,1011,S,WASHTENAW,AVE,1011 S WASHTENAW AVE
170920901100002024,17092090110000,2024,214 W HURON ST,214,W,HURON,ST,214 W HURON ST
032730500100002024,03273050010000,2024,7 W EUCLID AVE,7,W,EUCLID,AVE,7 W EUCLID AVE
022330203500002022,02233020350000,2022,312 S OAK ST,312,S,OAK,ST,312 S OAK ST
022330203500002023,02233020350000,2023,312 S OAK ST,312,S,OAK,ST,312 S OAK ST
022330203500002024,02233020350000,2024,312 S OAK ST,312,S,OAK,ST,312 S OAK ST
032740404110562024,03274040411056,2024,919 N BOXWOOD DR 206,919,N,BOXWOOD DR 206,,919 N BOXWOOD DR 206
010110001700002003,01011000170000,2003,115 DUNDEE AVE,115,,DUNDEE,AVE,115 DUNDEE AVE
032810200200002024,03281020020000,2024,1030 N FORREST AVE,1030,N,FORREST,AVE,1030 N FORREST AVE
161350300100002022,16135030010000,2022,1011 S WASHTENAW AVE,1011,S,WASHTENAW,AVE,1011 S WASHTENAW AVE
161350300100002023,16135030010000,2023,1011 S WASHTENAW AVE,1011,S,WASHTENAW,AVE,1011 S WASHTENAW AVE
032820403512782024,03282040351278,2024,1400 APPLE CT B,1400,,APPLE CT B,,1400 APPLE CT B
032830001200002024,03283000120000,2024,511 N WINDSOR DR,511,N,WINDSOR,DR,511 N WINDSOR DR
022330203600001999,02233020360000,1999,318 S OAK ST,318,S,OAK,ST,318 S OAK ST
010110001700002004,01011000170000,2004,115 DUNDEE AVE,115,,DUNDEE,AVE,115 DUNDEE AVE
161350300200001999,16135030020000,1999,1008 S WASHTENAW AVE,1008,S,WASHTENAW,AVE,1008 S WASHTENAW AVE
010110001700002005,01011000170000,2005,115 DUNDEE AVE,115,,DUNDEE,AVE,115 DUNDEE AVE
161350300200002000,16135030020000,2000,1008 S WASHTENAW AVE,1008,S,WASHTENAW,AVE,1008 S WASHTENAW AVE
161350300200002001,16135030020000,2001,1008 S WASHTENAW AVE,1008,S,WASHTENAW,AVE,1008 S WASHTENAW AVE
161350300200002002,16135030020000,2002,1008 S WASHTENAW AVE,1008,S,WASHTENAW,AVE,1008 S WASHTENAW AVE
161350300200002003,16135030020000,2003,1008 S WASHTENAW AVE,1008,S,WASHTENAW,AVE,1008 S WASHTENAW AVE
022330203600002000,02233020360000,2000,318 S OAK ST,318,S,OAK,ST,318 S OAK ST
022330203600002001,02233020360000,2001,318 S OAK ST,318,S,OAK,ST,318 S OAK ST
032920202100002024,03292020210000,2024,1002 N DRYDEN AVE,1002,N,DRYDEN,AVE,1002 N DRYDEN AVE
161350300200002004,16135030020000,2004,1008 S WASHTENAW AVE,1008,S,WASHTENAW,AVE,1008 S WASHTENAW AVE
161350300200002005,16135030020000,2005,1008 S WASHTENAW AVE,1008,S,WASHTENAW,AVE,1008 S WASHTENAW AVE
161350300200002006,16135030020000,2006,1008 S WASHTENAW AVE,1008,S,WASHTENAW,AVE,1008 S WASHTENAW AVE
022330203600002002,02233020360000,2002,318 S OAK ST,318,S,OAK,ST,318 S OAK ST
161350300200002007,16135030020000,2007,1008 S WASHTENAW AVE,1008,S,WASHTENAW,AVE,1008 S WASHTENAW AVE
010110001700002006,01011000170000,2006,115 DUNDEE AVE,115,,DUNDEE,AVE,115 DUNDEE AVE
010110001700002007,01011000170000,2007,115 DUNDEE AVE,115,,DUNDEE,AVE,115 DUNDEE AVE
022330203600002003,02233020360000,2003,318 S OAK ST,318,S,OAK,ST,318 S OAK ST
161350300200002008,16135030020000,2008,1008 S WASHTENAW AVE,1008,S,WASHTENAW,AVE,1008 S WASHTENAW AVE
010110001700002008,01011000170000,2008,115 DUNDEE AVE,115,,DUNDEE,AVE,115 DUNDEE AVE
032940500500002024,03294050050000,2024,5 DOUGLAS AVE,5,,DOUGLAS,AVE,5 DOUGLAS AVE
161350300200002009,16135030020000,2009,1008 S WASHTENAW AVE,1008,S,WASHTENAW,AVE,1008 S WASHTENAW AVE
010110001700002009,01011000170000,2009,115 DUNDEE AVE,115,,DUNDEE,AVE,115 DUNDEE AVE
161350300200002010,16135030020000,2010,1008 S WASHTENAW AVE,1008,S,WASHTENAW,AVE,1008 S WASHTENAW AVE
010110001700002010,01011000170000,2010,115 DUNDEE AVE,115,,DUNDEE,AVE,115 DUNDEE AVE
161350300200002011,16135030020000,2011,1008 S WASHTENAW AVE,1008,S,WASHTENAW,AVE,1008 S WASHTENAW AVE
161350300200002012,16135030020000,2012,1008 S WASHTENAW AVE,1008,S,WASHTENAW,AVE,1008 S WASHTENAW AVE
161350300200002013,16135030020000,2013,1008 S WASHTENAW AVE,1008,S,WASHTENAW,AVE,1008 S WASHTENAW AVE
022330203600002004,02233020360000,2004,318 S OAK ST,318,S,OAK,ST,318 S OAK ST
022330203600002005,02233020360000,2005,318 S OAK ST,318,S,OAK,ST,318 S OAK ST
161350300200002014,16135030020000,2014,1008 S WASHTENAW AVE,1008,S,WASHTENAW,AVE,1008 S WASHTENAW AVE
010110001700002011,01011000170000,2011,115 DUNDEE AVE,115,,DUNDEE,AVE,115 DUNDEE AVE
022030400800002024,02203040080000,2024,740 PARK LN,740,,PARK,LN,740 PARK LN
010110001700002012,01011000170000,2012,115 DUNDEE AVE,115,,DUNDEE,AVE,115 DUNDEE AVE
010110001700002013,01011000170000,2013,115 DUNDEE AVE,115,,DUNDEE,AVE,115 DUNDEE AVE
