pin,ward,community_area,census_tract,zip
13262110330000,35,,17031210601,60618
13043050320000,39,11,17031110100,60646
13052090010000,39,11,17031110100,60646
13053320250000,45,10,17031100100,60646
13061100370000,41,10,17031100200,60631
13063160120000,41,10,17031100300,60631
13063170190000,41,10,17031100300,60631
13064020260000,41,10,17031100200,60631
13081060010000,45,11,17031110200,60630
13082000440000,45,11,17031110200,60630
13264010050000,35,,17031220602,60647
13084140490000,45,11,17031110400,60630
13091020050000,45,11,17031110100,60630
13091340490000,45,11,17031110501,60630
13094160160000,45,11,17031110502,60630
13094230180000,45,12,17031120400,60630
13103110270000,39,14,17031140400,60630
13103120220000,39,14,17031140400,60630
13103140540000,39,14,17031140400,60630
13112010481001,39,13,17031831800,60625
20204130370000,17,,,60621
13114010470000,39,13,17031831800,60625
13121110580000,39,4,17031040300,60625
13121150481026,39,4,17031040300,60625
13121180430000,39,4,17031040300,60625
13122330320000,40,4,17031040202,60625
13123090030000,33,14,17031140100,60625
13131030180000,33,14,17031140800,60625
13131080100000,33,14,17031140800,60625
13131100010000,40,14,17031140800,60625
13264090150000,35,,17031220602,60647
13131120060000,33,14,17031140800,60625
13131290401004,33,14,17031140800,60618
13132100411007,47,4,17031040700,60625
13132100411017,47,4,17031040700,60625
13132290341001,40,14,17031140800,60618
13132310160000,47,4,17031040800,60625
13142180230000,33,14,17031140702,60625
13142260391002,33,14,17031140702,60625
13143040150000,33,16,17031160400,60618
10364180200000,,,,60645
13143140390000,33,16,17031160400,60618
13143210171010,39,16,17031160400,60618
13144160441001,33,16,17031160502,60618
13152050300000,39,14,17031140500,60630
13154090090000,39,16,17031160300,60641
13154160461008,39,16,17031160300,60641
13154180310000,39,16,17031160300,60641
13161020261007,45,15,17031150300,60630
13163150260000,38,15,17031150300,60641
13322060260000,37,,17031191302,60639
13163200010000,38,15,17031150300,60641
13171120620000,38,15,17031150501,60630
13264260290000,35,22,17031220601,60647
13271170190000,31,19,17031190100,60641
13271190110000,31,20,17031200100,60641
13271220380000,31,19,17031190100,60641
13272050050000,31,21,17031210400,60641
13272160360000,31,20,17031200100,60641
13273040240000,31,19,17031190900,60639
13324160160000,29,,17031250400,60639
13273100090000,31,20,17031200200,60639
13273210040000,31,19,17031190900,60639
13274180130000,31,20,17031200200,60639
13281130220000,31,19,17031190300,60641
13282220320000,31,19,17031190200,60641
13283070421003,31,19,17031190701,60639
13284060330000,31,19,17031190800,60639
13284110090000,31,19,17031190800,60639
13284260340000,31,19,17031190800,60639
13331030320000,37,,17031191200,60639
17053081101002,1,24,17031242000,60642
17053210391001,1,24,17031242000,60642
17061140661002,1,24,17031241200,
17062070291005,1,24,17031241400,60622
17062190400000,1,24,17031241500,60622
17063080411013,1,24,17031242400,60622
17063080411003,1,24,17031242400,60622
17063150461001,1,24,17031242300,60622
17063270521002,36,24,17031242300,60622
13331030370000,37,,17031191200,60639
17063270521003,36,24,17031242300,60622
17064290351003,1,24,17031242100,60622
17064320310000,1,24,17031242100,60622
17071020060000,36,24,17031243000,60622
17071140230000,36,24,17031242900,60612
17072070050000,1,24,17031243200,60622
17072140040000,1,24,17031243200,60622
17072150721003,1,24,17031243200,60622
17072280321008,27,24,17031243200,60622
20204270170000,17,,,60621
17072290350000,27,24,17031243100,60622
17081020020000,27,24,17031243300,60642
17081040130000,27,24,17031243400,60642
17081210130000,1,24,17031243300,60642
17081250391002,1,24,17031243400,60642
17082220201022,27,24,17031243500,60642
17082220201031,27,24,17031243500,60642
17082220201053,27,24,17031243500,60642
17082280461002,27,24,17031243500,60642
20204310260000,6,,,60621
16323120580000,,,17031814500,60804
16323250220000,,,17031815500,60402
16324060490000,,,17031814400,60804
16324080410000,,,17031814500,60804
16324210170000,,,17031814400,60804
16331040420000,,,17031814300,60804
16333270090000,,,17031814400,60804
16351110030000,22,30,17031830500,60623
16354010150000,12,58,17031580300,60632
16354070750000,12,58,17031580300,60632
16362010890000,12,59,17031840300,60608
16364080060000,12,58,17031580100,60632
16364090120000,12,58,17031580100,60632
17031040211005,43,8,17031080100,
17032000631006,2,8,17031081202,60611
17032000631029,2,8,17031081202,60611
17032000631039,2,8,17031081202,60611
17032000631150,2,8,17031081202,60611
20222000200000,20,,,60637
17032260550000,2,8,17031081300,60611
17041110491003,2,8,17031080400,60610
17041120620000,27,8,17031842200,60642
17041221311003,2,8,17031080400,60610
17042020470000,2,8,17031080300,60610
17042030040000,2,8,17031080300,60610
17042030340000,2,8,17031080300,60610
17042030350000,2,8,17031080300,60610
17042110341051,2,8,17031080201,60610
11181100421001,,,,60201
17042110341089,2,8,17031080201,60610
17042150721010,2,8,17031080300,60610
17042170960000,2,8,17031080202,60610
17043310471010,27,8,17031081800,60610
17043310471011,27,8,17031081800,60610
17044220380000,2,8,17031081000,60610
17051100200000,1,24,17031241600,60642
17051150901001,1,24,17031241600,60622
17094191900000,42,32,17031839100,60601
11183190190000,,,,60201
17094231550000,42,32,17031839100,
17101090241025,42,8,17031081500,60611
17101250090000,42,8,17031081500,60611
17083350511011,27,28,17031833000,60607
17084260100000,27,28,17031833000,60661
17084340080000,27,28,17031833000,60607
17084480091003,34,28,17031833000,60607
17084480091005,34,28,17031833000,60607
17091050030000,27,24,17031842300,60654
11183240241010,,,17031809400,60201
17091060210000,27,24,17031842300,60654
17091180151029,42,8,17031081800,60654
17091180151044,42,8,17031081800,60654
17091180151065,42,8,17031081800,60654
17091180151083,42,8,17031081800,60654
17091180151139,42,8,17031081800,60654
17091180151164,42,8,17031081800,60654
17091180151235,42,8,17031081800,60654
17091180151242,42,8,17031081800,60654
20223170030000,6,,,60637
17091180151255,42,8,17031081800,60654
17091180151325,42,8,17031081800,60654
17091180151352,42,8,17031081800,60654
17091180151354,42,8,17031081800,60654
17091180151359,42,8,17031081800,60654
17092270301052,42,8,17031081600,60654
17092270301249,42,8,17031081600,60654
17092270301311,42,8,17031081600,60654
17092460160000,42,8,17031081700,
11184000140000,,,,60201
17092570251069,42,8,17031081800,60654
17092570251091,42,8,17031081800,60654
17092570251096,42,8,17031081800,60654
17092570251109,42,8,17031081800,60654
17092570251198,42,8,17031081800,60654
17213070150000,25,31,17031843200,60616
17214320650000,11,34,17031841100,60616
17223060601023,3,33,17031330103,60616
17223060601061,3,33,17031330103,60616
17223060601071,3,33,17031330103,60616
17223060601103,3,33,17031330103,60616
17223060601108,3,33,17031330103,60616
17223060601179,3,33,17031330103,60616
17223060601341,3,33,17031330103,60616
17223060601346,3,33,17031330103,60616
17173160480000,28,28,17031283100,60607
17173340514002,28,28,17031283200,60607
17181000100000,27,28,17031280900,60612
17181090390000,27,28,17031838000,
17183150671002,28,28,17031282800,60612
17183170120000,28,28,17031838200,60612
17184230450000,27,28,17031838200,60608
17185000020000,27,28,17031838000,
17193150310000,25,31,17031841200,60608
17194130220000,25,31,17031310800,60608
17203160220000,25,31,17031310600,60608
17203210321002,25,31,17031310600,
20224080010000,20,,,60637
17204040080000,25,31,17031310300,60608
17204160190000,25,31,17031310300,60608
17212112340000,3,33,17031330200,60605
17212130640000,3,33,17031330200,60605
17102150590000,42,8,17031081402,60611
17102210860000,42,8,17031081403,60611
17104000431037,42,32,17031320101,60601
17104000431058,42,32,17031320101,60601
17104000431074,42,32,17031320101,60601
13331140120000,37,,17031191200,60639
17104000431093,42,32,17031320101,60601
17104000431130,42,32,17031320101,60601
17104000431182,42,32,17031320101,60601
17104000431254,42,32,17031320101,60601
17104000431282,42,32,17031320101,60601
17104000431403,42,32,17031320101,60601
17104000431408,42,32,17031320101,60601
17104000431409,42,32,17031320101,60601
17104000431429,42,32,17031320101,60601
17104000431437,42,32,17031320101,60601
17104000431438,42,32,17031320101,60601
17104000431443,42,32,17031320101,60601
17104000431499,42,32,17031320101,60601
17104000431556,42,32,17031320101,60601
17104000431572,42,32,17031320101,60601
