pin,address,housenumber,streetname,city,state,zip,units_res,land_class,building_class,owner_id,lat,lng
20253190280000,,,,,,60649,,203,203,,41.754477252351755,-87.58130220616063
20254180260000,,,,,,60649,,203,203,,41.75391299539809,-87.57272217178286
25252080190000,,,,,,,,EX,EX,,41.67054326996389,-87.56856166973382
20254190140000,,,,,,60649,,203,203,,41.75361822292479,-87.57201479061362
20254220160000,,,,,,60649,,204,204,,41.753835800437585,-87.56835566432844
20254240220000,,,,,,60649,,205,205,,41.75278984188081,-87.57514009124716
20254270230000,,,,,,60649,,100,100,,41.75259746872472,-87.57147238411956
20261100020000,,,,,,60619,,100,100,,41.763808574112694,-87.60140220170324
20264140470000,,,,,,60619,,203,203,,41.756257761677084,-87.58865561176218
20264170400000,,,,,,60619,,241,241,,41.75412613049552,-87.59468003215441
20272120350000,,,,,,60619,,211,211,,41.76321470369445,-87.60951173531754
20272170200000,,,,,,60619,,203,203,,41.76038866552733,-87.61357989534544
13034060040000,,,,,,60646,,203,203,,41.98450127959053,-87.73248737328633
20273070290000,,,,,,60619,,204,204,,41.75486844712313,-87.62194066893244
20273170330000,,,,,,60619,,205,205,,41.75363338012282,-87.61546023412865
20274220090000,,,,,,60619,,203,203,,41.75410612074346,-87.60738118711785
20274230020000,,,,,,60619,,211,211,,41.754645624644894,-87.60618371367673
20281240030000,,,,,,60621,,211,211,,41.75967837330687,-87.63636775099135
20282290470000,,,,,,,,EX,EX,,41.758897713468805,-87.62563292057823
20284130290000,,,,,,60619,,EX,EX,,41.75548955788201,-87.625185877933
20285010010000,,,,,,60620,,RR,RR,,41.758074763747494,-87.64280825298728
20291160230000,,,,,,60636,,203,203,,41.761572896085546,-87.66098625120458
13041100100000,,,,,,60646,,204,204,,41.994265191196334,-87.75859289479811
20292070020000,,,,,,60621,,100,100,,41.76492558126103,-87.64537157036351
20292180040000,,,,,,60621,,234,234,,41.761130030242505,-87.651241146724
20044480590000,,,,,,60609,,EX,EX,,41.809803996458896,-87.62790952642506
20064120290000,,,,,,60609,,207,207,,41.811539853309824,-87.67147166270567
20071240050000,,,,,,60609,,211,211,,41.80183743913021,-87.6784467898481
20072090390000,,,,,,60609,,211,211,,41.805734167959265,-87.67253985659552
20072300360000,,,,,,60609,,EX,EX,,41.801834586459755,-87.66519107786714
20081020350000,,,,,,60609,,202,202,,41.80780235491482,-87.66165511894076
20082010440000,,,,,,60609,,202,202,,41.80814228536384,-87.65054872923969
25173120420000,,,,,,60643,,EX,EX,,41.69738661885896,-87.65674513958473
20082140380000,,,,,,60609,,211,211,,41.802097608770595,-87.65422330084633
20084030200000,,,,,,60609,,100,100,,41.80041246421303,-87.65104555683945
20084070090000,,,,,,60609,,100,100,,41.800395877019874,-87.64670023661165
20084130320000,,,,,,60609,,100,100,,41.798331496306865,-87.64804756668461
20084190160000,,,,,,60609,,100,100,,41.79753602178367,-87.64881823278888
